Scraping 237 permits from ILMS (delay 2.0s, headless=True)...

[152/237] 25082827  Partial  14 insp  (1824 W 23rd St, Houston, TX 77008)
[153/237] 25082828  Partial  10 insp  (1826 W 23rd St, Houston, TX 77008)
[154/237] 25082829  Partial  10 insp  (1828 W 23rd St, Houston, TX 77008)
[155/237] 25070463  Passed   36 insp  (527 W 26th St, Houston, TX 77008)
[156/237] 25070464  Passed   33 insp  (525 W 26th St, Houston, TX 77008)
[157/237] 25089390  Partial  45 insp  (623 E 13th St, Houston, TX 77008)
[158/237] 25080675  Passed   39 insp  (715 E 12th St, Houston, TX 77008)
[159/237] 25054320  Passed   30 insp  (1029 Lamelia (Pvt) Ln, Houston, TX 77008)
[160/237] 25059398  Partial  32 insp  (609 E 25th St, Houston, TX 77008)
[161/237] 25068449  Partial  22 insp  (6107 Waltway Dr, Houston, TX 77008)
[162/237] 25054803  Partial  27 insp  (1004 Lamelia (Pvt) Ln, Houston, TX 77008)
[163/237] 25058066  Partial  15 insp  (1595 W 25th St, Houston, TX 77008)
[164/237] 25058067  Partial  20 insp  (1597 W 25th St, Houston, TX 77008)
[165/237] 25058068  Partial  20 insp  (1599 W 25th St, Houston, TX 77008)
[166/237] 25058069  Partial  21 insp  (1601 W 25th St, Houston, TX 77008)
[167/237] 25058070  Partial  20 insp  (1603 W 25th St, Houston, TX 77008)
[168/237] 25058071  Partial  15 insp  (1605 W 25th St, Houston, TX 77008)
[169/237] 25097288  no inspections yet  (1434 Herkimer St, Houston, TX 77008)
[170/237] 25050531  Passed   31 insp  (815 W 18th St, Houston, TX 77008)
[171/237] 25050532  Passed   31 insp  (813 W 18th St, Houston, TX 77008)
[172/237] 25111624  Partial  17 insp  (1126 Timbergrove Ln, Houston, TX 77008)
[173/237] 26024075  Partial  4 insp  (1220 Prince St, Houston, TX 77008)
[174/237] 26017264  Partial  10 insp  (2002 W 14th St A, Houston, TX 77008)
[175/237] 26023957  Partial  3 insp  (1218 Prince St, Houston, TX 77008)
[176/237] 26022264  Partial  4 insp  (2005 Harvard St, Houston, TX 77008)
[177/237] 26027632  Partial  8 insp  (1246 Omar St, Houston, TX 77008)
[178/237] 22030748  Partial  14 insp  (1035 Voight St, Houston, TX 77009)
[179/237] 22030746  Partial  17 insp  (1033 Voight St, Houston, TX 77009)
[180/237] 25027859  no inspections yet  (902 Jewett St, Houston, TX 77009)
[181/237] 24111379  Partial  28 insp  (2811 Ave, Houston, TX 77009)
[182/237] 25042637  Passed   35 insp  (1301 Tabor St, Houston, TX 77009)
[183/237] 25042687  Partial  42 insp  (1116 Highland St, Houston, TX 77009)
[184/237] 25042035  Partial  31 insp  (1002 E 6th 1/2 St, Houston, TX 77009)
[185/237] 25038428  Passed   33 insp  (1126 E 7th 1/2 St, Houston, TX 77009)
[186/237] 24116013  Passed   32 insp  (1303 Cordell St B, Houston, TX 77009)
[187/237] 24116014  Passed   34 insp  (1303 Cordell St A, Houston, TX 77009)
[188/237] 25020438  Pending  2 insp  (1132 E 6th 1/2 St, Houston, TX 77009)
[189/237] 25087112  Partial  41 insp  (711 E 26th St, Houston, TX 77009)
[190/237] 25088874  Partial  8 insp  (1008 E 28th St, Houston, TX 77009)
[191/237] 26009896  Partial  8 insp  (2924 Watson St, Houston, TX 77009)
[192/237] 25077928  Partial  9 insp  (2434 White Oak Dr, Houston, TX 77009)
[193/237] 25069482  Passed   41 insp  (1113 Voight St, Houston, TX 77009)
[194/237] 26013222  Partial  12 insp  (1122 E 26th St, Houston, TX 77009)
[195/237] 25069481  Partial  32 insp  (1109 Voight St, Houston, TX 77009)
[196/237] 25060378  Partial  22 insp  (1109 Tabor St, Houston, TX 77009)
[197/237] 26015304  Partial  9 insp  (1121 Louise St, Houston, TX 77009)
[198/237] 25065659  Partial  5 insp  (523 Link Rd, Houston, TX 77009)
[199/237] 25065660  Partial  5 insp  (519 Link Rd, Houston, TX 77009)
[200/237] 25065655  Partial  4 insp  (1906 Northwood St, Houston, TX 77009)
[201/237] 25065656  Partial  5 insp  (1910 Northwood St, Houston, TX 77009)
[202/237] 25065657  Partial  4 insp  (1914 Northwood St, Houston, TX 77009)
[203/237] 25065658  Partial  4 insp  (1918 Northwood St, Houston, TX 77009)
[204/237] 25046023  Passed   32 insp  (1125 E 24th St, Houston, TX 77009)
[205/237] 25066215  Partial  45 insp  (1107 E 24th St, Houston, TX 77009)
[206/237] 25066216  Partial  26 insp  (1109 E 24th St, Houston, TX 77009)
[207/237] 25066217  Partial  25 insp  (1104 Gibbs St, Houston, TX 77009)
[208/237] 25080290  Partial  20 insp  (906 Bayland Ave, Houston, TX 77009)
[209/237] 25089096  Partial  58 insp  (826 E 27th St, Houston, TX 77009)
[210/237] 25121207  Partial  26 insp  (949 Ridge St, Houston, TX 77009)
[211/237] 25091918  Partial  40 insp  (1010 E 26th St, Houston, TX 77009)
[212/237] 25091919  Partial  16 insp  (1012 E 26th St, Houston, TX 77009)
[213/237] 26002652  Passed   3 insp  (702 Euclid St, Houston, TX 77009)
[214/237] 25091277  Passed   31 insp  (1208 E 26th St B, Houston, TX 77009)
[215/237] 26011838  Partial  9 insp  (1137 Adele St, Houston, TX 77009)
[216/237] 25118077  Passed   2 insp  (1314 E 28th St, Houston, TX 77009)
[217/237] 25119945  Pending  33 insp  (409 Walton St A, Houston, TX 77009)
[218/237] 25119946  Pending  33 insp  (409 Walton St B, Houston, TX 77009)
[219/237] 25053903  Passed   38 insp  (931 Merrill St, Houston, TX 77009)
[220/237] 25114943  Partial  8 insp  (635 Mazal (Pvt) Ln, Houston, TX 77009)
[221/237] 25050913  Partial  52 insp  (1316 Heslep St, Houston, TX 77009)
[222/237] 25050911  Passed   37 insp  (1318 Heslep St, Houston, TX 77009)
[223/237] 26007129  Partial  14 insp  (1124 Robbie St, Houston, TX 77009)
[224/237] 26007130  Partial  15 insp  (1122 Robbie St, Houston, TX 77009)
[225/237] 26001982  Partial  7 insp  (1118 Adele St, Houston, TX 77009)
[226/237] 26011835  Partial  7 insp  (1135 Adele St, Houston, TX 77009)
[227/237] 25093062  Partial  15 insp  (602 Northwood St, Houston, TX 77009)
[228/237] 25045819  Passed   37 insp  (902 E 25th St, Houston, TX 77009)
[229/237] 25091370  Partial  50 insp  (1208 E 26th St A, Houston, TX 77009)
[230/237] 25114005  Partial  16 insp  (845 E 26th St, Houston, TX 77009)
[231/237] 25046809  Passed   32 insp  (2715 Beauchamp St, Houston, TX 77009)
[232/237] 25046810  Passed   38 insp  (2713 Beauchamp St, Houston, TX 77009)
[233/237] 25046043  Partial  49 insp  (1121 E 24th St, Houston, TX 77009)
[234/237] 25077930  Partial  9 insp  (2436 White Oak Dr, Houston, TX 77009)
[235/237] 25120411  no inspections yet  (940 Nadine St, Houston, TX 77009)
[236/237] 26025617  Partial  6 insp  (932 Algregg St, Houston, TX 77009)
[237/237] 26025618  Partial  5 insp  (934 Algregg St, Houston, TX 77009)

Wrote 238 permits with inspection data -> /Users/nemoclaw/jarvis/heights-map/inspections.json
  (233 updated this run)
The map picks this up on its next load / 6-hour refresh.
Scraping 135 permits from ILMS (delay 2.0s, headless=True)...

[1/135] 25041934  Passed   40 insp  (1312 CASTLE CT A 77006)
[2/135] 25041935  Passed   35 insp  (1312 CASTLE CT B 77006)
[3/135] 25024203  Passed   33 insp  (1644 BONNIE BRAE ST 77006)
[4/135] 25024204  Partial  23 insp  (1642 BONNIE BRAE ST 77006)
[5/135] 25031363  Partial  26 insp  (10 COURTLANDT PLACE 77006)
[6/135] 25099983  Partial  11 insp  (3412 AUDUBON PLACE 77006)
[7/135] 25119218  Partial  10 insp  (1125 JACKSON BLVD 77006)
[8/135] 26013758  Partial  1 insp  (1323 SOUTH BLVD 77006)
[9/135] 26000466  Partial  6 insp  (1829 MARYLAND ST 77006)
[10/135] 25089108  Partial  8 insp  (4526 YOAKUM BLVD 77006)
[11/135] 25089109  Partial  8 insp  (4528 YOAKUM BLVD 77006)
[12/135] 25054883  Partial  28 insp  (1511 KIPLING ST 77006)
[13/135] 25089084  Passed   4 insp  (4534 YOAKUM BLVD 77006)
[14/135] 25089097  Partial  8 insp  (4524 YOAKUM BLVD 77006)
[15/135] 26003095  Passed   1 insp  (1830 FAIRVIEW ST S 77006)
[16/135] 26003096  Partial  23 insp  (1828 FAIRVIEW ST 77006)
[17/135] 25121137  Partial  2 insp  (720 PEDEN ST 77006)
[18/135] 25089091  Partial  3 insp  (4512 YOAKUM BLVD 77006)
[19/135] 25089092  Partial  4 insp  (4514 YOAKUM BLVD 77006)
[20/135] 25089117  Partial  3 insp  (4516 YOAKUM BLVD 77006)
[21/135] 25089118  Partial  4 insp  (4518 YOAKUM BLVD 77006)
[22/135] 25121136  Partial  7 insp  (718 PEDEN ST 77006)
[23/135] 25075652  Partial  60 insp  (1202 W DREW ST 77006)
[24/135] 26011549  no inspections yet  (1304 WELCH ST 77006)
[25/135] 25075531  Partial  14 insp  (419 LOVETT BLVD 77006)
[26/135] 25065678  Passed   44 insp  (1415 HAROLD ST 77006)
[27/135] 25082179  Partial  23 insp  (1634 CASTLE CT 77006)
[28/135] 25082180  Partial  23 insp  (1636 CASTLE CT 77006)
[29/135] 26013572  no inspections yet  (1417 VASSAR ST 77006)
[30/135] 25099835  Partial  8 insp  (1312 VASSAR ST 77006)
[31/135] 25112747  Partial  32 insp  (1223 W DREW ST 77006)
[32/135] 25080759  Partial  60 insp  (1501 BONNIE BRAE ST 77006)
[33/135] 25089111  Partial  12 insp  (4520 YOAKUM BLVD 77006)
[34/135] 25089112  Partial  12 insp  (4522 YOAKUM BLVD 77006)
[35/135] 25098277  Partial  5 insp  (1408 INDIANA ST A 77006)
[36/135] 25048142  Partial  17 insp  (1604 SUL ROSS ST 77006)
[37/135] 25086165  Partial  30 insp  (1601 VERMONT ST 77006)
[38/135] 25086166  Partial  31 insp  (1603 VERMONT ST 77006)
[39/135] 25075844  Passed   38 insp  (4317 ROSELAND ST A 77006)
[40/135] 25089147  Partial  5 insp  (4530 YOAKUM BLVD 77006)
[41/135] 25089148  Partial  5 insp  (4532 YOAKUM BLVD 77006)
[42/135] 25075843  Passed   34 insp  (4317 ROSELAND ST B 77006)
[43/135] 25120079  Passed   8 insp  (1246 PEDEN ST A 77006)
[44/135] 25120080  Passed   6 insp  (1246 PEDEN ST B 77006)
[45/135] 25110062  Partial  8 insp  (1414 KIPLING ST 77006)
[46/135] 26034562  no inspections yet  (4404 YUPON ST 77006)
[47/135] 26043480  Pending  1 insp  (1218 BOMAR ST 77006)
[48/135] 26043584  no inspections yet  (608 PEDEN ST 77006)
[49/135] 26017362  Partial  15 insp  (1615 VASSAR ST 77006)
[50/135] 26034563  Passed   1 insp  (4400 YUPON ST 77006)
[51/135] 25042036  Passed   36 insp  (2628 PECKHAM ST 77098)
[52/135] 25042037  Passed   35 insp  (2630 PECKHAM ST 77098)
[53/135] 25023959  Partial  13 insp  (2127 HAROLD ST 77098)
[54/135] 25023960  Partial  12 insp  (2129 HAROLD ST 77098)
[55/135] 26014939  Passed   7 insp  (2935 FERNDALE ST 77098)
[56/135] 25073729  Partial  21 insp  (2638 PERSA ST 77098)
[57/135] 26014938  Passed   5 insp  (2933 FERNDALE ST 77098)
[58/135] 26005250  Pending  1 insp  (1916 HAWTHORNE ST 77098)
