market,id,address,product,confidence,reason_code,reason,candidate,parcel_account,depth_ft
index,pmt_721-usener-st-77009,"721 Usener St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=144.2018; geometry=HCAD unique exact-address polygon; parcel=0611830100012; parcel_history=none,Single Lot,0611830100012,144.2018
index,pmt_605-cordell-st-77009,"605 Cordell St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=99.9999; geometry=HCAD unique exact-address polygon; parcel=0331280860009; parcel_history=none,Single Lot,0331280860009,99.9999
index,pmt_1106-robbie-st-77009,"1106 Robbie St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=100.0656; geometry=HCAD unique exact-address polygon; parcel=0350120080013; parcel_history=none,Single Lot,0350120080013,100.0656
index,pmt_115-northwood-st-77009,"115 Northwood St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=100.0389; geometry=HCAD unique exact-address polygon; parcel=0330710000005; parcel_history=none,Single Lot,0330710000005,100.0389
index,pmt_1132-adele-st-77009,"1132 Adele St, Houston, TX 77009",Split Lot,high,V9_VERIFIED,replat child; units=1 (one address); master_size=2 (25039338); depth_ft=100.0001; geometry=HCAD unique exact-address polygon; parcel=1446520010002; parcel_history=none,Split Lot,1446520010002,100.0001
index,pmt_1125-euclid-st-77009,"1125 Euclid St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=101.1427; geometry=HCAD unique exact-address polygon; parcel=0620670000011; parcel_history=none,Single Lot,0620670000011,101.1427
index,pmt_1134-adele-st-77009,"1134 Adele St, Houston, TX 77009",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=100.0001; geometry=HCAD unique exact-address polygon; parcel=1446520010001; parcel_history=none,Split Lot,1446520010001,100.0001
index,pmt_707-teetshorn-st-77009,"707 Teetshorn St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=108.0227; geometry=HCAD unique exact-address polygon; parcel=0611810040013; parcel_history=none,Single Lot,0611810040013,108.0227
index,pmt_121-northwood-st-77009,"121 Northwood St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=100.0399; geometry=HCAD unique exact-address polygon; parcel=0330710000008; parcel_history=none,Single Lot,0330710000008,100.0399
index,pmt_1805-palmetto-landing-dr-77009,"1805 Palmetto Landing Dr, Houston, TX 77009",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=67.0095; geometry=HCAD unique exact-address polygon; parcel=1385300010008; parcel_history=none,Common Driveway,1385300010008,67.0095
index,pmt_1023-e-23rd-st-77009,"1023 E 23rd St, Houston, TX 77009",Split Lot,high,V9_VERIFIED,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=120.0001; geometry=HCAD unique exact-address polygon; parcel=0351030650008; parcel_history=none,Split Lot,0351030650008,120.0001
index,pmt_2922-michaux-st-77009,"2922 Michaux St, Houston, TX 77009",Common Driveway,high,V9_VERIFIED,replat child; units=1 (one address); master_size=11 (24079057); depth_ft=57.1776; geometry=HCAD unique exact-address polygon; parcel=1402070010006; parcel_history=none,Common Driveway,1402070010006,57.1776
index,pmt_2932-michaux-st-77009,"2932 Michaux St, Houston, TX 77009",Common Driveway,high,V9_VERIFIED,replat child; units=1 (one address); master_size=11 (24079057); depth_ft=50.0007; geometry=HCAD unique exact-address polygon; parcel=1402070010001; parcel_history=none,Common Driveway,1402070010001,50.0007
