MLS,ADDRESS,CLOSE_DATE,REASON,EVIDENCE
98063079,616 W 26th Street,2026-06-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
80723482,801 W 13th Street,2026-06-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
60876776,758 E 17th Street,2026-06-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
43101497,925 Tulane Street Unit#A,2026-06-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
41183759,3709 Reagan Street,2026-06-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
96436501,240 W 27th Street,2026-06-03,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
87350290,1412 W 24th Street,2026-06-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
52299536,621 W 15th Street,2026-06-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38400412,415 W 16th Street Unit#B,2026-06-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91277648,550 Oxford Street,2026-06-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
7574549,508 W 17th Street,2026-06-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
37608974,1213 Ashland Street,2026-06-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
32488995,815 W Melwood Street,2026-06-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10541447,732 E 28th Street,2026-06-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88049686,409 W 21st Street,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
86701818,440 W 18th Street,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69452013,118 E 27th Street Unit#A,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69079811,110 E 26th Street Unit#B,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
64757029,931 Alexander Street,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
56515043,621 Rutland Street Unit#D,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
4783282,916 Arlington Street,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
17827819,1706 Northwood Street,2026-05-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92691955,1913 W 15th Street,2026-05-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
61794126,617 Harvard Street,2026-05-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
53161409,1828 Arlington Street,2026-05-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
48017196,905 Gibbs Street,2026-05-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
42409260,920 W 25th Street Unit#C,2026-05-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91034951,836 Allston Street,2026-05-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
71455529,1420 W 26th Street,2026-05-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
67034520,1016 Rutland Street,2026-05-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
7839752,1437 Cortlandt Street,2026-05-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
45930165,1646 Harvard Street,2026-05-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
4436936,413 Woodland Street,2026-05-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
39550662,316 W 17th Street,2026-05-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
31038021,1236 Columbia Street,2026-05-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
43910788,3535 Michaux Street,2026-05-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
41813835,521 W 22nd Street,2026-05-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
35174310,2020 Columbia Street,2026-05-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10825083,1248 W 22nd Street,2026-05-20,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
48522046,1228 Herkimer Street,2026-05-19,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88606966,3012 Beauchamp Street,2026-05-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
29096052,1418 Columbia Street,2026-05-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
14414524,606 Allston Street,2026-05-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
73168747,1026 Allston Street,2026-05-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
53824585,1102 Winston Street,2026-05-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
97166261,517 E 25th Street,2026-05-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
87356355,925 Waverly Street Unit#B,2026-05-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
84922219,610 E 7th Street,2026-05-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
65708439,2216 Arlington Street,2026-05-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
57714605,621 Rutland Street Unit#A,2026-05-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
77046795,916 Nicholson Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
47899099,509 Euclid Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
44618766,716 E 18th Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
36617811,903 E 25th Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
23946093,517 Harvard Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
17052910,844 E 26th Street,2026-05-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
81663024,1833 Tabor Street,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69956766,508 E 25th Street,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
43683152,1523 Oxford Street,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3763963,2424 Couch Street,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
30567135,929 Wynnwood Lane,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
29090594,540 W 24th Street Unit#B,2026-05-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
25058599,1184 Nelson Falls Lane,2026-05-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
89906929,1005 Walton Street,2026-05-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69140513,629 W 8th Street,2026-05-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
64117338,440 W 21st Street,2026-05-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
62093441,518 E 27th Street,2026-05-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
97512116,411 Bayland Avenue,2026-05-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
90792866,802 Ralfallen Street,2026-05-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72569109,805 Ralfallen Street,2026-05-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
63452137,542 Oxford Street,2026-05-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38166412,217 W 24th Street,2026-05-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
8477381,741 E 16th Street,2026-05-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
56620105,724 Ashland Street,2026-05-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
44307734,1633 Arlington Street,2026-05-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
27714410,1023 Nashua Street,2026-05-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
24085876,1116 Waverly Street,2026-05-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92054993,509 Vincent Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91549854,638 Harvard Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91454250,1206 W 24th Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72552965,912 W 19th Street Unit#C,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
60508962,711 Tulane Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
54927275,1129 Oxford Street Unit#B,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
45861274,518 Byrne Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
33866323,313 E 25th Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
16074813,826 E 24th Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10486436,1136 Woodland Street,2026-04-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
31001293,705 W 9th Street,2026-04-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
82276251,1007 Grovewood Lane,2026-04-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72855437,1135 Jerome Street,2026-04-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
5668350,912 Teetshorn Street,2026-04-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
96836524,821 E 25th Street E,2026-04-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
73233338,1128 Euclid Street,2026-04-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
32713723,608 E 19th Street,2026-04-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
58223923,920 W 25th Street Unit#B,2026-04-23,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
50162810,1111 Ashland Street,2026-04-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
24625392,405 W 27th Street Unit#A,2026-04-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
90037309,918 E 14th Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
84806618,1321 W 21st Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
78554872,814 Omar Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
68968275,1822 Cortlandt Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
48572382,1020 W 22nd Street Unit#B,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
45081940,1027 Peddie Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
36874983,840 Alexander Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10096400,924 Allston Street,2026-04-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
