address,member,product,status,mls,lot,source_row,sub2000
"1405 W 21st St C, Houston, TX 77008",pmt_1405-w-21st-st-c-77008,Common Driveway,terminated,23099716,1925.0,814,True
"1405 W 21st St B, Houston, TX 77008",pmt_1405-w-21st-st-b-77008,Common Driveway,sold,31950581,1589.0,166,True
"1405 W 21st St A, Houston, TX 77008",pmt_1405-w-21st-st-a-77008,Common Driveway,terminated,9963614,1589.0,788,True
"1403 W 21st St D, Houston, TX 77008",pmt_1403-w-21st-st-d-77008,Common Driveway,terminated,92944075,1589.0,725,True
"1403 W 21st St C, Houston, TX 77008",pmt_1403-w-21st-st-c-77008,Common Driveway,terminated,94909002,1589.0,762,True
"319 E 24th St, Houston, TX 77008",pmt_319-e-24th-st-77008,Unknown,no_record,,,,False
"1519 Glen Oaks St, Houston, TX 77008",pmt_1519-glen-oaks-st-77008,Unknown,no_record,,,,False
"1006 Nashua St, Houston, TX 77008",pmt_1006-nashua-st-77008,Unknown,no_record,,,,False
"710 E 12th St, Houston, TX 77008",pmt_710-e-12th-st-77008,Single Lot,no_record,,,,False
"730 E 13th 1/2 St, Houston, TX 77008",pmt_730-e-13th-1-2-st-77008,Unknown,no_record,,,,False
"832 W 19th St, Houston, TX 77008",pmt_832-w-19th-st-77008,Split Lot,terminated,20884835,3275.0,1013,False
"1207 Tulane St, Houston, TX 77008",pmt_1207-tulane-st-77008,Split Lot,no_record,,,,False
"1312 E 28th St A, Houston, TX 77009",pmt_1312-e-28th-st-a-77009,Unknown,no_record,,,,False
"1115 E 26th St, Houston, TX 77009",pmt_1115-e-26th-st-77009,Split Lot,no_record,,,,False
"605 Cordell St, Houston, TX 77009",pmt_605-cordell-st-77009,Single Lot,no_record,,,,False
"121 Northwood St, Houston, TX 77009",pmt_121-northwood-st-77009,Single Lot,no_record,,,,False
"1805 Palmetto Landing Dr, Houston, TX 77009",pmt_1805-palmetto-landing-dr-77009,Unknown,active,73440928,1943.0,5,True
"2928 Michaux St, Houston, TX 77009",pmt_2928-michaux-st-77009,Common Driveway,active,11138011,,60,False
"2926 Michaux St, Houston, TX 77009",pmt_2926-michaux-st-77009,Common Driveway,active,46686786,,61,False
"2701 Julian St, Houston, TX 77009",pmt_2701-julian-st-77009,Unknown,no_record,,,,False
"1040 Voight St, Houston, TX 77009",pmt_1040-voight-st-77009,Unknown,no_record,,,,False
"1127 Robbie St, Houston, TX 77009",pmt_1127-robbie-st-77009,Single Lot,no_record,,,,False
"610 Skyland Terrace Way, Houston, TX 77009",pmt_610-skyland-terrace-way-77009,Common Driveway,no_record,,,,False
"614 Skyland Terrace Way, Houston, TX 77009",pmt_614-skyland-terrace-way-77009,Common Driveway,no_record,,,,False
